iter	Logloss
0	0.692821661
1	0.6925682674
2	0.6923278429
3	0.6922326515
4	0.6917097376
5	0.6916890177
6	0.6916787052
7	0.6913548147
8	0.6913453406
9	0.6909049533
10	0.6908654408
11	0.6906129468
12	0.6903425988
13	0.6898384545
14	0.6895225042
15	0.6894629333
16	0.6894540907
17	0.6894444045
18	0.6891229656
19	0.6885411928
20	0.6885312563
21	0.6885221815
22	0.688512623
23	0.6883986052
24	0.6883875758
25	0.688119669
26	0.6881099814
27	0.687455609
28	0.6870994232
29	0.6870903723
30	0.6868910789
31	0.6868814691
32	0.6868722374
33	0.6866429622
34	0.686118999
35	0.6854364497
36	0.6849979606
37	0.6849890938
38	0.6848806221
39	0.6848719664
40	0.6846347095
41	0.6845215448
42	0.6839297163
43	0.6836411765
44	0.6835311981
45	0.6831956651
46	0.6829523489
47	0.6827070611
48	0.6822393441
49	0.6819408583
50	0.6817280496
51	0.6811737872
52	0.681164779
53	0.6811508664
54	0.6805791486
55	0.6801338654
56	0.6797445005
57	0.6797357666
58	0.6795095097
59	0.6795010323
60	0.6794929537
61	0.6794840491
62	0.6792435605
63	0.6785184846
64	0.6781519488
65	0.678046109
66	0.6779496078
67	0.6777399035
68	0.6775187435
69	0.6773653733
70	0.6770066572
71	0.6769988355
72	0.6769906797
73	0.6767758548
74	0.6765168727
75	0.6764921651
76	0.6764836495
77	0.6759844235
78	0.6757439309
79	0.6757332192
80	0.6757253356
81	0.6756349011
82	0.6752820969
83	0.6751826146
84	0.675174606
85	0.6747751418
86	0.6747673044
87	0.6746402846
88	0.6739576511
89	0.6739493258
90	0.6734009175
91	0.6732380827
92	0.6732305187
93	0.6730727814
94	0.6725744175
95	0.6724714374
96	0.6719221968
97	0.6716965436
98	0.6714172736
99	0.6708014829
100	0.6704660166
101	0.669947663
102	0.6699403348
103	0.6696055792
104	0.6692170557
105	0.6689421261
106	0.6681411446
107	0.6678946726
108	0.6678867397
109	0.6678794528
110	0.6676562051
111	0.6674338275
112	0.6674261454
113	0.6671804044
114	0.6670727055
115	0.6669729225
116	0.6663647541
117	0.6659617672
118	0.6657611665
119	0.6652053659
120	0.6649522127
121	0.6649445949
122	0.6648442311
123	0.6646974691
124	0.6646156887
125	0.664608155
126	0.6639705338
127	0.6639631882
128	0.6637974392
129	0.6634280034
130	0.6634201549
131	0.663212508
132	0.663204934
133	0.6628249248
134	0.6628007784
135	0.6626887343
136	0.6620723813
137	0.6617437304
138	0.6617360721
139	0.6615003961
140	0.6613988069
141	0.6612916979
142	0.6610622097
143	0.661054681
144	0.6608271058
145	0.6606319379
146	0.6602882804
147	0.6602808152
148	0.6600859628
149	0.6599423987
150	0.6597157909
151	0.6597085776
152	0.6595143178
153	0.6587949051
154	0.658169439
155	0.657976757
156	0.6579701135
157	0.6574717745
158	0.6574095335
159	0.656831208
160	0.6563260323
161	0.6557931298
162	0.6555799892
163	0.6553663433
164	0.6550539645
165	0.65504751
166	0.6548847875
167	0.654535442
168	0.6538895983
169	0.6538814671
170	0.653874658
171	0.653660396
172	0.6533563225
173	0.6533500205
174	0.6527669612
175	0.6525338044
176	0.6525271244
177	0.652520361
178	0.6519531872
179	0.651947013
180	0.6519401241
181	0.6519335708
182	0.6517274564
183	0.6517024779
184	0.6514789811
185	0.6510616232
186	0.65105562
187	0.6505800804
188	0.6500027616
189	0.6496096496
190	0.6496034143
191	0.6494478167
192	0.6494413936
193	0.6494345904
194	0.6494182208
195	0.6494119423
196	0.6492441893
197	0.6489535052
198	0.6485221281
199	0.6480970868
200	0.6475907671
201	0.6475847664
202	0.6472237651
203	0.647212009
