iter	Passed	Remaining
0	1	1226
1	2	1358
2	4	1343
3	5	1355
4	7	1404
5	8	1375
6	9	1354
7	11	1391
8	12	1358
9	13	1351
10	15	1355
11	16	1352
12	17	1356
13	19	1370
14	20	1375
15	22	1360
16	23	1339
17	24	1317
18	25	1323
19	27	1338
20	28	1325
21	29	1311
22	30	1297
23	31	1288
24	33	1293
25	34	1298
26	35	1289
27	38	1348
28	40	1355
29	41	1342
30	42	1339
31	43	1329
32	45	1318
33	46	1320
34	48	1332
35	50	1339
36	51	1338
37	52	1330
38	53	1324
39	54	1317
40	56	1319
41	57	1322
42	60	1340
43	61	1344
44	63	1345
45	64	1343
46	66	1342
47	67	1340
48	68	1338
49	70	1341
50	71	1337
51	73	1342
52	74	1333
53	75	1329
54	81	1392
55	82	1394
56	84	1401
57	85	1392
58	87	1390
59	88	1382
60	89	1374
61	90	1366
62	91	1363
63	94	1388
64	96	1389
65	97	1385
66	99	1383
67	100	1382
68	102	1380
69	103	1377
70	105	1377
71	106	1368
72	107	1359
73	108	1357
74	109	1354
75	110	1347
76	111	1338
77	112	1332
78	113	1326
79	114	1318
80	115	1311
81	116	1305
82	117	1303
83	119	1298
84	119	1291
85	121	1288
86	122	1281
87	123	1278
88	126	1290
89	127	1286
90	128	1283
91	129	1282
92	130	1276
93	132	1273
94	133	1271
95	134	1266
96	137	1279
97	138	1275
98	139	1272
99	142	1280
100	143	1278
101	145	1282
102	146	1278
103	148	1277
104	149	1274
105	150	1271
106	153	1281
107	154	1279
108	155	1274
109	156	1268
110	157	1264
111	159	1262
112	160	1257
113	161	1254
114	162	1251
115	163	1248
116	165	1248
117	166	1246
118	167	1243
119	169	1244
120	171	1243
121	172	1239
122	173	1236
123	174	1234
124	176	1232
125	177	1228
126	178	1227
127	179	1223
128	180	1222
129	182	1221
130	183	1217
131	185	1218
132	186	1214
133	188	1215
134	189	1214
135	190	1212
136	193	1220
137	195	1221
138	196	1218
139	198	1217
140	199	1217
141	201	1216
142	202	1216
143	204	1213
144	205	1212
145	207	1210
146	208	1210
147	209	1207
148	211	1205
149	212	1204
150	214	1204
151	215	1201
152	216	1200
153	219	1208
154	221	1208
155	223	1207
156	224	1204
157	227	1212
158	229	1212
159	230	1212
160	232	1213
161	234	1214
162	236	1212
163	237	1211
164	239	1211
165	240	1208
166	242	1207
167	243	1207
168	245	1208
169	247	1207
170	248	1205
171	250	1205
172	251	1204
173	253	1202
174	255	1202
175	256	1200
176	257	1197
177	258	1195
178	262	1201
179	263	1199
180	264	1198
181	266	1196
182	267	1195
183	269	1194
184	270	1193
185	272	1193
186	273	1189
187	275	1189
188	278	1194
189	280	1194
190	281	1191
191	282	1189
192	283	1186
193	284	1183
194	286	1182
195	287	1179
196	289	1178
197	290	1178
198	292	1178
199	295	1182
200	297	1181
201	298	1178
202	299	1176
203	301	1175
204	303	1176
205	305	1175
206	306	1175
207	308	1175
208	310	1174
209	311	1172
210	313	1170
211	314	1170
212	316	1169
213	317	1167
214	319	1165
215	321	1165
216	322	1165
217	324	1163
218	325	1162
219	327	1160
220	328	1158
221	333	1167
222	334	1166
223	336	1166
224	337	1164
225	339	1163
226	341	1161
227	342	1160
228	343	1158
229	345	1157
230	349	1163
231	351	1162
232	352	1160
233	354	1159
234	355	1156
235	357	1157
236	358	1154
237	360	1154
238	362	1153
239	363	1151
240	365	1149
241	366	1147
242	367	1145
243	369	1143
244	370	1141
245	371	1138
246	373	1137
247	374	1136
248	376	1135
249	378	1135
250	379	1133
251	381	1131
252	382	1129
253	383	1126
254	385	1125
255	387	1125
256	388	1123
257	390	1123
258	397	1136
259	398	1134
260	400	1133
261	401	1132
262	403	1130
263	404	1128
264	407	1129
265	408	1128
266	410	1127
267	412	1126
268	415	1129
269	416	1127
270	418	1126
271	420	1125
272	421	1123
273	423	1121
274	425	1120
275	426	1119
276	428	1119
277	431	1119
278	432	1117
279	434	1117
280	438	1120
281	440	1120
282	441	1119
283	444	1119
284	445	1118
285	447	1117
286	449	1116
287	450	1114
288	452	1113
289	454	1113
290	456	1111
291	458	1111
292	459	1109
293	461	1108
294	463	1107
295	464	1105
296	466	1104
297	470	1107
298	472	1106
299	473	1105
300	475	1103
301	476	1100
302	477	1098
303	478	1096
304	480	1094
305	483	1096
306	485	1095
307	486	1092
308	487	1090
309	488	1087
310	490	1086
311	491	1084
312	493	1083
313	494	1081
314	496	1079
315	498	1079
316	500	1078
317	501	1076
318	503	1074
319	505	1073
320	506	1071
321	508	1071
322	511	1071
323	512	1068
324	514	1068
325	516	1067
326	517	1065
327	519	1063
328	520	1062
329	522	1061
330	523	1058
331	525	1056
332	526	1054
333	527	1052
334	529	1050
335	531	1049
336	532	1048
337	534	1046
338	540	1053
339	543	1054
340	544	1052
341	546	1050
342	547	1049
343	549	1047
344	550	1045
345	552	1044
346	554	1042
347	556	1042
348	557	1040
349	559	1038
350	561	1037
351	562	1035
352	563	1033
353	565	1031
354	566	1029
355	568	1028
356	569	1025
357	571	1024
358	572	1022
359	574	1021
360	575	1019
361	577	1017
362	578	1015
363	580	1014
364	584	1017
365	586	1016
366	587	1013
367	589	1012
368	590	1009
369	592	1008
370	593	1006
371	595	1005
372	597	1003
373	599	1002
374	602	1004
375	604	1003
376	607	1003
377	608	1001
378	610	1000
379	612	998
380	613	996
381	614	994
382	616	992
383	617	991
384	619	989
385	620	986
386	622	985
387	623	983
388	625	982
389	627	980
390	628	978
391	629	977
392	631	975
393	632	973
394	634	972
395	636	970
396	637	968
397	639	967
398	641	966
399	642	964
400	644	962
401	645	960
402	647	959
403	648	956
404	650	955
405	651	953
406	652	950
407	653	948
408	655	947
409	656	945
410	658	943
411	660	942
412	661	940
413	663	939
414	664	937
415	666	935
416	668	935
417	671	935
418	674	935
419	675	933
420	677	931
421	679	930
422	680	927
423	684	929
424	686	928
425	687	925
426	689	925
427	692	924
428	693	923
429	695	922
430	697	920
431	698	918
432	700	916
433	701	914
434	702	912
435	704	911
436	706	909
437	707	908
438	709	906
439	710	904
440	712	902
441	713	900
442	715	899
443	717	897
444	718	896
445	720	894
446	722	893
447	724	892
448	725	890
449	727	889
450	728	886
451	729	884
452	731	883
453	732	881
454	733	878
455	735	877
456	737	875
457	738	874
458	739	871
459	741	870
460	743	869
461	744	866
462	745	864
463	747	863
464	748	860
465	750	859
466	751	857
467	752	855
468	755	854
469	756	853
470	757	851
471	759	849
472	761	848
473	763	846
474	764	844
475	765	843
476	767	841
477	769	840
478	770	838
479	772	836
480	773	834
481	775	832
482	776	831
483	777	829
484	781	829
485	782	827
486	784	826
487	785	824
488	787	822
489	788	820
490	789	818
491	790	816
492	793	815
493	795	814
494	796	812
495	797	810
496	798	808
497	800	807
498	802	806
499	804	804
500	805	802
501	807	800
502	808	798
503	809	796
504	811	794
505	812	792
506	813	790
507	814	788
508	816	787
509	817	785
510	818	783
511	820	781
512	821	779
513	823	778
514	824	776
515	826	775
516	828	774
517	830	772
518	831	770
519	832	768
520	834	767
521	836	766
522	838	764
523	839	762
524	840	760
525	842	759
526	843	757
527	845	756
528	847	754
529	848	752
530	849	750
531	851	748
532	853	747
533	855	746
534	856	744
535	857	742
536	859	741
537	860	739
538	862	737
539	863	735
540	864	733
541	866	731
542	867	730
543	868	728
544	869	726
545	871	724
546	872	722
547	873	720
548	875	718
549	877	718
550	881	718
551	883	716
552	884	714
553	885	712
554	886	710
555	888	709
556	889	707
557	891	705
558	892	704
559	894	702
560	895	700
561	896	698
562	897	697
563	900	695
564	901	694
565	903	692
566	904	690
567	905	688
568	906	686
569	908	685
570	909	683
571	911	682
572	912	680
573	913	678
574	915	676
575	916	674
576	917	672
577	918	670
578	920	669
579	921	667
580	923	665
581	924	663
582	925	661
583	926	659
584	927	658
585	929	656
586	931	655
587	932	653
588	934	652
589	935	650
590	937	648
591	938	646
592	939	644
593	943	645
594	945	643
595	946	641
596	947	639
597	949	638
598	950	636
599	951	634
600	952	632
601	954	631
602	956	629
603	957	627
604	959	626
605	960	624
606	961	622
607	963	620
608	964	619
609	967	618
610	968	616
611	971	615
612	972	613
613	973	612
614	975	610
615	976	609
616	978	607
617	979	605
618	981	604
619	982	602
620	984	600
621	985	598
622	986	596
623	988	595
624	990	594
625	991	592
626	992	590
627	993	588
628	995	587
629	996	585
630	997	583
631	998	581
632	1000	580
633	1002	578
634	1004	577
635	1005	575
636	1006	573
637	1008	571
638	1010	570
639	1011	569
640	1013	567
641	1016	566
642	1017	565
643	1019	563
644	1020	561
645	1021	560
646	1023	558
647	1024	556
648	1026	555
649	1027	553
650	1028	551
651	1030	549
652	1031	548
653	1033	546
654	1034	545
655	1036	543
656	1037	541
657	1039	540
658	1041	538
659	1043	537
660	1045	536
661	1046	534
662	1048	532
663	1049	531
664	1050	529
665	1052	527
666	1053	526
667	1055	524
668	1056	522
669	1057	520
670	1059	519
671	1061	517
672	1062	516
673	1063	514
674	1065	512
675	1066	511
676	1068	509
677	1069	507
678	1071	506
679	1072	504
680	1073	502
681	1075	501
682	1076	499
683	1078	498
684	1079	496
685	1081	494
686	1082	493
687	1083	491
688	1085	489
689	1088	489
690	1089	487
691	1091	485
692	1092	483
693	1093	482
694	1095	480
695	1096	479
696	1100	478
697	1102	476
698	1103	475
699	1104	473
700	1105	471
701	1106	469
702	1108	468
703	1109	466
704	1110	464
705	1111	463
706	1112	461
707	1113	459
708	1115	457
709	1116	456
710	1117	454
711	1118	452
712	1120	450
713	1121	449
714	1122	447
715	1123	445
716	1125	444
717	1126	442
718	1127	440
719	1129	439
720	1130	437
721	1131	435
722	1132	434
723	1134	432
724	1136	430
725	1137	429
726	1138	427
727	1141	426
728	1142	424
729	1143	423
730	1145	421
731	1146	419
732	1148	418
733	1150	416
734	1152	415
735	1154	414
736	1155	412
737	1157	410
738	1158	409
739	1159	407
740	1162	406
741	1163	404
742	1164	402
743	1166	401
744	1167	399
745	1169	398
746	1173	397
747	1175	395
748	1176	394
749	1177	392
750	1178	390
751	1180	389
752	1182	387
753	1183	386
754	1185	384
755	1186	383
756	1188	381
757	1189	379
758	1192	378
759	1194	377
760	1195	375
